Company_Name,Industry (Exiobase),Total Environmental Cost,Biodiversity,Abiotic Resources,SDG 1.5,SDG 2.1,SDG 2.2,SDG 2.3,SDG 2.4,SDG 3.3,SDG 3.4,SDG 3.9,SDG 6,SDG 12.2,SDG 14.1,SDG 14.2,SDG 14.3,SDG 14.c,SDG 15.1,SDG 15.2,SDG 15.5,Environmental Index
CELANESE CORP,Chemicals nec,0.862280474,0.976035938,0.998975983,0.865989345,0.976101605,0.976086484,0.863774325,0.863774325,0.976259469,0.059917552,0.997004768,0.608365846,0.998975983,0.997056137,0.994858096,0.977358977,0.997056268,0.02315652,0.02315652,0.87444086,0.01
GRACE (W R) & CO,Chemicals nec,0.874735279,0.990854848,0.999681592,0.88021171,0.99079888,0.990791673,0.877879015,0.877879015,0.990848675,0.059505766,0.999068706,0.607746969,0.999681592,0.999040764,0.99839412,0.991092951,0.999041526,0.02149851,0.02149851,0.888453974,0.06
KIMBERLY-CLARK CORP,Chemicals nec,0.839095436,0.967413576,0.996999616,0.858310611,0.967438412,0.967496674,0.855122501,0.855122501,0.967648279,0.056918541,0.991223714,0.593723551,0.996999616,0.995809384,0.984898552,0.967404189,0.995809612,0.023550589,0.023550589,0.866306793,0.06
DUPONT DE NEMOURS INC,Chemicals nec,0.835572283,0.959182781,0.99650166,0.849739635,0.959420114,0.959393953,0.847702574,0.847702574,0.959709468,0.058615844,0.989767145,0.597316502,0.99650166,0.995649087,0.982427967,0.96148998,0.99564951,0.023497346,0.023497346,0.858331163,0.01
INGEVITY CORP,Chemicals nec,0.877709461,0.993242189,0.999789771,0.882474733,0.993234842,0.99323456,0.880031778,0.880031778,0.993280351,0.058945276,0.999385141,0.608625278,0.999789771,0.999366446,0.99893456,0.993473763,0.999365998,0.021223305,0.021223305,0.890710018,0.11
PROCTER & GAMBLE CO,Chemicals nec,0.846423362,0.962827034,0.988992986,0.853745541,0.963680768,0.963652141,0.851701553,0.851701553,0.963947845,0.05346587,0.967803725,0.604918155,0.988992986,0.993633928,0.94472067,0.965588242,0.993634367,0.022314967,0.022314967,0.862287957,0.06
PPG INDUSTRIES INC,Chemicals nec,0.872991289,0.989706499,0.997536925,0.879334604,0.989919473,0.98991845,0.876888604,0.876888604,0.989983829,0.058025737,0.992795367,0.607068576,0.997536925,0.99760827,0.987631636,0.990423966,0.997607017,0.022006019,0.022006019,0.887629492,0.06
INTL FLAVORS & FRAGRANCES,Chemicals nec,0.878444307,0.994056415,0.999164127,0.883289267,0.993933012,0.993927353,0.880950199,0.880950199,0.993955037,0.058859349,0.99755507,0.608694251,0.999164127,0.999867692,0.995800006,0.993747307,0.999867649,0.020466196,0.020466196,0.89139965,0.18
ECOLAB INC,Chemicals nec,0.875336511,0.990956033,0.997575906,0.880672841,0.991544345,0.991608094,0.877252811,0.877252811,0.991668422,0.054659727,0.992909408,0.608495094,0.997575906,0.997056137,0.987801489,0.992057067,0.997056268,0.022565754,0.022565754,0.888956969,0.21
AXALTA COATING SYSTEMS LTD,Chemicals nec,0.879233552,0.994745213,0.999271114,0.883961205,0.994649491,0.994646702,0.881574308,0.881574308,0.994670313,0.058790357,0.997868092,0.608853373,0.999271114,0.999798993,0.996340447,0.994491935,0.99979934,0.020579296,0.020579296,0.892084155,0.23
MICROSOFT CORP,Computer and related activities (72),0.862687651,0.976199837,0.999527629,0.866807052,0.976371566,0.976353183,0.864629919,0.864629919,0.976470494,0.061753241,0.998222636,0.608036134,0.999527629,0.994280204,0.987060313,0.977517697,0.994279042,0.02596503,0.02596503,0.875166896,0.09
CADENCE DESIGN SYSTEMS INC,Computer and related activities (72),0.880123764,0.995613721,0.999991256,0.88466367,0.995612492,0.99560829,0.882268886,0.882268886,0.995647709,0.058833573,0.9999672,0.608958968,0.999991256,0.999893135,0.999752942,0.99585258,0.999893266,0.020786505,0.020786505,0.892909662,0.13
VIRTUSA CORP,Computer and related activities (72),0.880228299,0.995750216,0.999995348,0.884787417,0.995747852,0.995743742,0.882391251,0.882391251,0.995782797,0.058807809,0.999982557,0.608949556,0.999995348,0.999944023,0.999876471,0.995981734,0.999942363,0.020740722,0.020740722,0.893032719,0.13
ORACLE CORP,Computer and related activities (72),0.877006163,0.991931523,0.999851727,0.881414855,0.991984876,0.991978516,0.879051775,0.879051775,0.992020979,0.059712255,0.99944221,0.608854188,0.999851727,0.998203658,0.995938977,0.992377774,0.998204729,0.02234498,0.02234498,0.889672238,0.14
AMDOCS,Computer and related activities (72),0.879997927,0.995484604,0.999984686,0.884554454,0.995486217,0.995481956,0.882160468,0.882160468,0.995521098,0.058874951,0.999942458,0.608935625,0.999984686,0.999814259,0.999583089,0.995731045,0.999814282,0.020859927,0.020859927,0.892800449,0.14
INTL BUSINESS MACHINES CORP,Computer and related activities (72),0.87395712,0.988359469,0.999710429,0.87827901,0.98846817,0.988459777,0.875945579,0.875945579,0.988503843,0.060602079,0.998910489,0.608716089,0.999710429,0.996493826,0.992063247,0.989007088,0.996492711,0.023923294,0.023923294,0.886546078,0.14
FIDELITY NATIONAL INFO SVCS,Computer and related activities (72),0.879742899,0.995118861,0.999961239,0.884257308,0.99512984,0.995125464,0.881864693,0.881864693,0.995162729,0.059022613,0.999854201,0.608956999,0.999961239,0.999529287,0.99893456,0.995386213,0.999530369,0.021121736,0.021121736,0.892502548,0.18
PTC INC,Computer and related activities (72),0.8802739,0.995789214,0.999995315,0.884825567,0.995786602,0.99578253,0.882428791,0.882428791,0.995821212,0.058808026,0.999982462,0.608959735,0.999995315,0.999944023,0.999876471,0.996018375,0.999942363,0.020741062,0.020741062,0.893070149,0.19
STEEL CONNECT INC,Computer and related activities (72),0.880301178,0.99582347,0.999996951,0.884854788,0.995820106,0.995816051,0.882457781,0.882457781,0.995854782,0.058797724,0.999988624,0.608959874,0.999996951,0.999961834,0.999922794,0.996050664,0.99996371,0.020722918,0.020722918,0.893099375,0.21
TERADATA CORP,Computer and related activities (72),0.880251869,0.995758648,0.999992898,0.884802206,0.995757269,0.995753193,0.882405459,0.882405459,0.995791612,0.058823235,0.999973362,0.608959625,0.999992898,0.999913491,0.999799265,0.995989896,0.999914613,0.020768192,0.020768192,0.893047075,0.21
SALESFORCE INC,Computer and related activities (72),0.879649194,0.995027162,0.999935845,0.884234766,0.995048474,0.99504427,0.881838876,0.881838876,0.99507663,0.059182536,0.999758645,0.608891815,0.999935845,0.99922396,0.998239708,0.995300595,0.999222974,0.021405418,0.021405418,0.892475886,0.23
VMWARE INC -CL A,Computer and related activities (72),0.879928296,0.995377622,0.999959443,0.884516535,0.995389551,0.995385446,0.882119543,0.882119543,0.995419861,0.059033913,0.99984747,0.608907049,0.999959443,0.999508932,0.998888237,0.995630915,0.999509022,0.021141744,0.021141744,0.892758404,0.24
AUTODESK INC,Computer and related activities (72),0.880931568,0.996495403,0.999987735,0.885540264,0.996496581,0.996493276,0.883131039,0.883131039,0.996523571,0.058855747,0.999953928,0.60896313,0.999987735,0.999849881,0.999660295,0.996686454,0.999850572,0.020825844,0.020825844,0.893776188,0.08
OWENS CORNING,Construction (45),0.854961813,0.967787751,0.999998025,0.85841289,0.967503052,0.967480958,0.856360266,0.856360266,0.967648299,0.063340549,0.999994217,0.607932705,0.999998025,0.995305594,0.999984559,0.968533193,0.995303691,0.025311695,0.025311695,0.866773384,0
LENNOX INTERNATIONAL INC,Construction (45),0.879345919,0.994780523,0.999998963,0.88382155,0.994777604,0.994772946,0.881434734,0.881434734,0.994822286,0.058752181,0.999996966,0.608954968,0.999998963,0.999997456,1,0.995067139,0.999997865,0.020690022,0.020690022,0.892078002,0.01
AECOM,Construction (45),0.879413349,0.994865898,0.999994383,0.883908122,0.99487448,0.994871828,0.881491214,0.881491214,0.994920642,0.058639715,0.999983316,0.608955378,0.999994383,0.999987278,0.999953677,0.995159832,0.999987192,0.020696975,0.020696975,0.892163116,0.04
KB HOME,Construction (45),0.880185846,0.995707001,0.999998754,0.88473282,0.995705486,0.99570182,0.882330206,0.882330206,0.995742428,0.058747058,0.999996398,0.608959294,0.999998754,0.999997456,0.999984559,0.995943641,0.999997865,0.020690361,0.020690361,0.892979394,0.05
JACOBS SOLUTIONS INC,Construction (45),0.879914401,0.995412931,0.999996464,0.88444525,0.995417183,0.995414192,0.882032848,0.882032848,0.995457712,0.058690811,0.999989572,0.608957928,0.999996464,0.999992367,0.999969118,0.99567191,0.999991461,0.020693922,0.020693922,0.892694312,0.05
FLUOR CORP,Construction (45),0.879956276,0.995460362,0.999996014,0.884491977,0.995465603,0.995462847,0.882076007,0.882076007,0.995505949,0.058679746,0.999988245,0.60895815,0.999996014,0.999992367,0.999969118,0.995717803,0.999991461,0.020694431,0.020694431,0.892740458,0.06
FREEPORT-MCMORAN INC,Copper production,0.822427807,0.941019485,0.259206303,0.832957904,0.941608971,0.941593586,0.83083128,0.83083128,0.941999427,0.054843312,0.259206408,0.605071913,0.259206303,0.992817178,0.947067725,0.943468911,0.992816782,0.024043177,0.024043177,0.841237523,0.2
MARATHON OIL CORP,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.852667695,0.952349608,0.998782628,0.854916604,0.952008515,0.952014549,0.852380079,0.852380079,0.951168621,0.109641681,0.998217043,0.607791422,0.998782628,0.936972834,0.986072079,0.953238857,0.936971265,0.082638511,0.082638511,0.863654403,0.01
MURPHY OIL CORP,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.86917255,0.982704157,0.999330847,0.873787697,0.982678555,0.982671836,0.871447059,0.871447059,0.982651096,0.065197302,0.999020075,0.607995018,0.999330847,0.991511904,0.992356629,0.983172874,0.991510354,0.028979223,0.028979223,0.882060138,0.01
CONOCOPHILLIPS,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.767204943,0.856925504,0.992297505,0.768036736,0.858362078,0.858513278,0.763378109,0.763378109,0.857991882,0.115470139,0.988718302,0.603927044,0.992297505,0.907155088,0.911923659,0.862812623,0.907156107,0.111329134,0.111329134,0.77689718,0.01
HESS CORP,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.858928069,0.967239137,0.998457194,0.862326317,0.967301049,0.967323545,0.859562409,0.859562409,0.967079543,0.077529459,0.997740399,0.608237716,0.998457194,0.973711328,0.982366202,0.967986649,0.973711344,0.046419187,0.046419187,0.870645065,0.01
EXXON MOBIL CORP,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.202547834,0.199970698,0.939288453,0.201810368,0.173298395,0.173167864,0.208111814,0.208111814,0.168435504,0.381315737,0.911075579,0.574362033,0.939288453,0.681676043,0.30633705,0.104203924,0.681675643,0.327882882,0.327882882,0.183732277,0.08
NOBLE ENERGY INC,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.86934746,0.980641452,0.998957932,0.872900607,0.980803659,0.980808674,0.870356633,0.870356633,0.980709198,0.068676846,0.99847385,0.608903394,0.998957932,0.985578379,0.98809487,0.981579862,0.985578062,0.034784971,0.034784971,0.881263344,0.02
CHEVRON CORP,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.568501729,0.588266822,0.966707157,0.556024569,0.5887156,0.588738931,0.553713388,0.553713388,0.58553573,0.296643733,0.951235912,0.599495825,0.966707157,0.673717181,0.619591736,0.591643849,0.673717534,0.338577367,0.338577367,0.563138486,0.02
ANTERO RESOURCES CORP,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.877409676,0.992794233,0.999062993,0.882372467,0.992995959,0.992993898,0.879927133,0.879927133,0.993029848,0.059169049,0.998627707,0.608464656,0.999062993,0.997842354,0.98929928,0.993340438,0.997843967,0.022714972,0.022714972,0.89058491,0.07
RANGE RESOURCES CORP,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.880112927,0.993974202,0.999382196,0.884854066,0.994069405,0.994076964,0.882268931,0.882268931,0.993960658,0.064934114,0.99909525,0.608727515,0.999382196,0.991165866,0.992943393,0.994224195,0.99116667,0.029324289,0.029324289,0.89309476,0.04
HF SINCLAIR CORP,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",0.836018464,0.951554881,0.991228715,0.843656367,0.953362291,0.953333806,0.841478459,0.841478459,0.953721818,0.053824697,0.987060194,0.603767428,0.991228715,0.991511904,0.899014854,0.955578855,0.991510354,0.027744449,0.027744449,0.85175428,0.05
MARATHON PETROLEUM CORP,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",0.582653358,0.679226649,0.937742,0.58781461,0.691973383,0.691736904,0.587845924,0.587845924,0.694505429,0.016894358,0.908153152,0.592070896,0.937742,0.950923742,0.283283407,0.70683089,0.950925707,0.059763131,0.059763131,0.595079977,0.06
PHILLIPS 66,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",0.638324312,0.725462554,0.946111883,0.630066225,0.735985315,0.735789335,0.629757613,0.629757613,0.738234948,0.016953651,0.920500946,0.607750286,0.946111883,0.96657685,0.379636206,0.747049652,0.966575089,0.045593234,0.045593234,0.63687064,0.06
DIGITAL REALTY TRUST INC,"Financial intermediation, except insurance and pension funding (65)",0.863732531,0.978862803,0.999990984,0.868192395,0.978841371,0.978820752,0.866060799,0.866060799,0.979017681,0.058864686,0.999980472,0.60772873,0.999990984,0.999867692,0.999845588,0.980010067,0.999867649,0.020807022,0.020807022,0.876617943,0
CORESITE REALTY CORP,"Financial intermediation, except insurance and pension funding (65)",0.87875169,0.994118602,0.999998536,0.883174228,0.994112284,0.994106537,0.880804387,0.880804387,0.994161632,0.058792566,0.999996966,0.608951895,0.999998536,0.9999771,0.999969118,0.994437879,0.999978653,0.020707996,0.020707996,0.891437593,0
EQUINIX INC,"Financial intermediation, except insurance and pension funding (65)",0.867346891,0.981507324,0.99998556,0.870809732,0.981489094,0.981471072,0.868636485,0.868636485,0.981641472,0.058916482,0.999968717,0.608893199,0.99998556,0.999788815,0.9997375,0.982508968,0.999788666,0.02087824,0.02087824,0.879206754,0
AMERICAN TOWER CORP,"Financial intermediation, except insurance and pension funding (65)",0.865999103,0.980016949,0.99998031,0.869359984,0.979997902,0.97997844,0.867209774,0.867209774,0.980161391,0.058966588,0.999957341,0.608876353,0.99998031,0.999712484,0.999644853,0.981098257,0.999711817,0.020947083,0.020947083,0.877772628,0.01
WASHINGTON REIT,"Financial intermediation, except insurance and pension funding (65)",0.879705842,0.995318597,0.999999068,0.884353349,0.995313963,0.995309386,0.881964753,0.881964753,0.995353302,0.05878751,0.999998104,0.608829472,0.999999068,0.999984734,0.999984559,0.995573232,0.999985057,0.020701044,0.020701044,0.89260407,0.01
JBG SMITH PPTYS,"Financial intermediation, except insurance and pension funding (65)",0.879347513,0.995162076,0.99999807,0.884202161,0.995157109,0.995152382,0.881815965,0.881815965,0.99519749,0.058797037,0.999995924,0.608618764,0.99999807,0.999972012,0.999969118,0.995424669,0.999972249,0.020714101,0.020714101,0.892454351,0.01
AVALONBAY COMMUNITIES INC,"Financial intermediation, except insurance and pension funding (65)",0.877480931,0.995327556,0.99999399,0.884377599,0.9953235,0.995318947,0.881988596,0.881988596,0.995361311,0.058835988,0.999987013,0.606673387,0.99999399,0.999910946,0.999891912,0.995580125,0.999912478,0.020767683,0.020767683,0.892628169,0.01
VORNADO REALTY TRUST,"Financial intermediation, except insurance and pension funding (65)",0.878117377,0.994137047,0.999995291,0.883202591,0.994131471,0.994125751,0.880832285,0.880832285,0.994179732,0.058823555,0.999989857,0.608318407,0.999995291,0.999931301,0.999922794,0.994454749,0.99993169,0.020750557,0.020750557,0.891465793,0.01
PARK HOTELS & RESORTS,"Financial intermediation, except insurance and pension funding (65)",0.877196175,0.994017417,0.999992629,0.883092683,0.994011669,0.994005839,0.880724115,0.880724115,0.994060183,0.05884897,0.999984074,0.607531319,0.999992629,0.999890591,0.99986103,0.99434047,0.999891131,0.020785488,0.020785488,0.891357093,0.01
TANGER FACTORY OUTLET CTRS,"Financial intermediation, except insurance and pension funding (65)",0.879781676,0.995470902,0.999998669,0.884504053,0.995466164,0.995461736,0.882113062,0.882113062,0.995504102,0.058791301,0.999997251,0.608769595,0.999998669,0.999979645,0.999969118,0.995716715,0.999980788,0.020706301,0.020706301,0.892753277,0.01
EQUITY RESIDENTIAL,"Financial intermediation, except insurance and pension funding (65)",0.877001661,0.994968664,0.999991834,0.884030812,0.994964109,0.99495921,0.881647319,0.881647319,0.995004344,0.058856587,0.999982368,0.606518868,0.999991834,0.999880414,0.99986103,0.995239827,0.999880458,0.020796001,0.020796001,0.892284635,0.01
WEYERHAEUSER CO,"Financial intermediation, except insurance and pension funding (65)",0.874085958,0.988353672,0.99998298,0.878658485,0.988422686,0.988440248,0.875947604,0.875947604,0.988436674,0.062023798,0.999963124,0.60849954,0.99998298,0.994348902,0.999691177,0.988921469,0.994349487,0.026231078,0.026231078,0.88697729,0
DOUGLAS EMMETT INC,"Financial intermediation, except insurance and pension funding (65)",0.879602133,0.995322286,0.999997592,0.884361159,0.995317509,0.99531294,0.881972435,0.881972435,0.995356397,0.058801604,0.999994881,0.608723149,0.999997592,0.999964378,0.999953677,0.995575952,0.99996371,0.020720375,0.020720375,0.892611761,0.01
ALEXANDRIA R E EQUITIES INC,"Financial intermediation, except insurance and pension funding (65)",0.879155918,0.994556545,0.999996044,0.883612628,0.994551044,0.994545731,0.881235801,0.881235801,0.994595972,0.058816382,0.999991563,0.608953977,0.999996044,0.999941479,0.999922794,0.994851279,0.999942363,0.020740722,0.020740722,0.891871369,0.01
HERSHA HOSPITALITY TRUST,"Financial intermediation, except insurance and pension funding (65)",0.879934682,0.995655354,0.999998648,0.884685748,0.995651028,0.995646781,0.882291861,0.882291861,0.995687398,0.058791504,0.999997156,0.60875647,0.999998648,0.999979645,0.999969118,0.995891399,0.999980788,0.02070664,0.02070664,0.892932735,0.01
HOST HOTELS & RESORTS INC,"Financial intermediation, except insurance and pension funding (65)",0.876176041,0.993519922,0.999985802,0.882624375,0.993514666,0.99350837,0.880263225,0.880263225,0.993565437,0.058914157,0.999969286,0.606964994,0.999985802,0.99979136,0.999752942,0.993868117,0.999790801,0.020875018,0.020875018,0.890893578,0.01
IRON MOUNTAIN INC,"Financial intermediation, except insurance and pension funding (65)",0.877215882,0.992396343,0.999988939,0.881509599,0.992389415,0.992382014,0.87916619,0.87916619,0.992450594,0.058884198,0.999976111,0.608943995,0.999988939,0.999837159,0.999799265,0.992806592,0.999837764,0.020833814,0.020833814,0.88979068,0.01
SIMON PROPERTY GROUP INC,"Financial intermediation, except insurance and pension funding (65)",0.876190059,0.99406959,0.999985058,0.883167014,0.994064739,0.994058982,0.880797229,0.880797229,0.994110647,0.058921264,0.999967674,0.606500795,0.999985058,0.999781182,0.9997375,0.994387451,0.999780127,0.020884853,0.020884853,0.891430414,0.01
SUNSTONE HOTEL INVESTORS INC,"Financial intermediation, except insurance and pension funding (65)",0.879602448,0.995471956,0.999997127,0.884509646,0.995467253,0.995462831,0.88211856,0.88211856,0.995504743,0.058806037,0.999993838,0.60859276,0.999997127,0.999956745,0.999953677,0.995717259,0.999957306,0.020726479,0.020726479,0.892758404,0.02
VENTAS INC,"Financial intermediation, except insurance and pension funding (65)",0.87790663,0.993160503,0.999989886,0.882258464,0.993154425,0.993147767,0.879903149,0.879903149,0.993209406,0.058875163,0.999978102,0.60894755,0.999989886,0.999852425,0.999814706,0.993529633,0.999850572,0.020821435,0.020821435,0.890531586,0.02
EMPIRE STATE REALTY TR INC,"Financial intermediation, except insurance and pension funding (65)",0.879886479,0.995514116,0.999998125,0.884548129,0.995509399,0.995505015,0.882156432,0.882156432,0.995546817,0.058796505,0.999996018,0.608831386,0.999998125,0.999972012,0.999969118,0.995757348,0.999972249,0.020713422,0.020713422,0.89279686,0.02
KIMCO REALTY CORP,"Financial intermediation, except insurance and pension funding (65)",0.879742484,0.995647976,0.999996806,0.884683934,0.995643688,0.995639439,0.882290073,0.882290073,0.995679595,0.05880909,0.999993175,0.608573724,0.999996806,0.999951657,0.999938235,0.99588378,0.999953037,0.020730718,0.020730718,0.892931197,0.02
REGENCY CENTERS CORP,"Financial intermediation, except insurance and pension funding (65)",0.879805405,0.995658516,0.999997018,0.884693792,0.995654348,0.995650108,0.882299773,0.882299773,0.995690224,0.058807085,0.999993649,0.608625414,0.999997018,0.999956745,0.999953677,0.995893938,0.999955172,0.020728005,0.020728005,0.892940939,0.02
SL GREEN REALTY CORP,"Financial intermediation, except insurance and pension funding (65)",0.879859977,0.995333353,0.999996848,0.88437682,0.995326039,0.995321483,0.881988411,0.881988411,0.995364136,0.058820438,0.999993269,0.608957605,0.999996848,0.999954201,0.999938235,0.99557559,0.999953037,0.020730209,0.020730209,0.892625093,0.03
SITE CENTERS CORP,"Financial intermediation, except insurance and pension funding (65)",0.88012941,0.995789741,0.999998624,0.884818141,0.995785704,0.995781588,0.88242215,0.88242215,0.995820928,0.058791738,0.999997156,0.608826782,0.999998624,0.999979645,0.999969118,0.996018557,0.999978653,0.020706809,0.020706809,0.893063996,0.03
REGIONS FINANCIAL CORP,"Financial intermediation, except insurance and pension funding (65)",0.879786347,0.995210033,0.999982457,0.884296862,0.995206933,0.995202297,0.881909097,0.881909097,0.995242443,0.058946093,0.999961986,0.608957229,0.999982457,0.999743016,0.999691177,0.995465301,0.999741703,0.020918936,0.020918936,0.892547669,0.11
HUNTINGTON BANCSHARES,"Financial intermediation, except insurance and pension funding (65)",0.87990639,0.995351271,0.999985318,0.884426863,0.995347779,0.995343273,0.882037043,0.882037043,0.995382914,0.058918776,0.999968243,0.608957846,0.999985318,0.999783727,0.9997375,0.995599534,0.999784397,0.020881292,0.020881292,0.892676366,0.12
US BANCORP,"Financial intermediation, except insurance and pension funding (65)",0.878626141,0.993768669,0.999928955,0.88304178,0.99376995,0.99376406,0.880673772,0.880673772,0.993802362,0.059456917,0.999845574,0.608951286,0.999928955,0.998959343,0.998733825,0.994086335,0.998958273,0.021620427,0.021620427,0.891305306,0.14
COMERICA INC,"Financial intermediation, except insurance and pension funding (65)",0.88011343,0.995596857,0.9999901,0.884654158,0.995593377,0.995589097,0.882260745,0.882260745,0.995627797,0.058873132,0.999978576,0.608956203,0.9999901,0.99985497,0.999814706,0.995833534,0.999854841,0.020818722,0.020818722,0.892901458,0.14
FIFTH THIRD BANCORP,"Financial intermediation, except insurance and pension funding (65)",0.8798346,0.995249559,0.99997596,0.88435574,0.99524748,0.995242901,0.881967014,0.881967014,0.995280795,0.059008127,0.999947861,0.608952006,0.99997596,0.999646329,0.999567648,0.995501036,0.999647777,0.021004057,0.021004057,0.892606121,0.15
BANK OF AMERICA CORP,"Financial intermediation, except insurance and pension funding (65)",0.875717236,0.990950763,0.999704525,0.88008274,0.991036713,0.991027971,0.877757014,0.877757014,0.991119031,0.057840764,0.99935746,0.608868347,0.999704525,0.999946568,0.994719125,0.991535374,0.999946633,0.020352757,0.020352757,0.888362194,0.04
WELLS FARGO & CO,"Financial intermediation, except insurance and pension funding (65)",0.876331306,0.990738906,0.999738022,0.880642605,0.990758625,0.99075032,0.878312006,0.878312006,0.990762079,0.061279914,0.999430265,0.608870184,0.999738022,0.996163055,0.995305889,0.99116424,0.996161835,0.024124059,0.024124059,0.888928256,0.19
KEYCORP,"Financial intermediation, except insurance and pension funding (65)",0.88005829,0.995502522,0.999980016,0.884591833,0.995499868,0.995495524,0.882199368,0.882199368,0.995532205,0.058969412,0.999956677,0.60895863,0.999980016,0.999707395,0.999644853,0.995741022,0.999707548,0.020950983,0.020950983,0.892839417,0.2
FRANKLIN RESOURCES INC,"Financial intermediation, except insurance and pension funding (65)",0.880145253,0.995613721,0.999985101,0.884685851,0.995610728,0.995606478,0.882291912,0.882291912,0.995643577,0.05892085,0.999967769,0.608959075,0.999985101,0.999781182,0.9997375,0.995847864,0.999782262,0.020884175,0.020884175,0.892932735,0.21
CITIGROUP INC,"Financial intermediation, except insurance and pension funding (65)",0.877290577,0.991739692,0.999730875,0.881648462,0.991761068,0.991753761,0.879301843,0.879301843,0.99175401,0.061348131,0.999414718,0.608905558,0.999730875,0.996058735,0.99518236,0.99210822,0.996057235,0.024217829,0.024217829,0.889922966,0.23
NORTHERN TRUST CORP,"Financial intermediation, except insurance and pension funding (65)",0.880150856,0.995610559,0.999982094,0.884692085,0.995608101,0.995603857,0.882298036,0.882298036,0.995640115,0.058949572,0.999961133,0.608959106,0.999982094,0.999737927,0.999675736,0.995844055,0.999737434,0.020923683,0.020923683,0.892938888,0.24
