Company_Name,Total Environmental Cost,Biodiversity,Abiotic Resources,SDG 1.5,SDG 2.1,SDG 2.2,SDG 2.3,SDG 2.4,SDG 3.3,SDG 3.4,SDG 3.9,SDG 6,SDG 12.2,SDG 14.1,SDG 14.2,SDG 14.3,SDG 14.c,SDG 15.1,SDG 15.2,SDG 15.5,Environmental Index,Fossil Free Funds: Coal screen,Fossil Free Funds: Oil / gas screen,Fossil Free Funds: Macroclimate30 coal-fired utility screen,Fossil Free Funds: Fossil-fired utility screen,Fossil Free Funds: Fossil fuel finance screen,Fossil Free Funds: Fossil fuel finance risk score,Fossil Free Funds: Fossil fuel insurance screen,Fossil Free Funds: Fossil fuel insurance risk score,Fossil Free Funds: Clean200 screen,Deforestation Free Funds: Producer screen,Deforestation Free Funds: Financier screen,Deforestation Free Funds: Consumer brand screen,Deforestation Free Funds: Palm oil producer screen,Deforestation Free Funds: Palm oil consumer brand screen,Deforestation Free Funds: Paper / pulp producer screen,Deforestation Free Funds: Paper / pulp consumer brand screen,Deforestation Free Funds: Rubber producer screen,Deforestation Free Funds: Rubber consumer brand screen,Deforestation Free Funds: Timber producer screen,Deforestation Free Funds: Timber consumer brand screen,Deforestation Free Funds: Cattle producer screen,Deforestation Free Funds: Cattle consumer brand screen,Deforestation Free Funds: Soy producer screen,Deforestation Free Funds: Soy consumer brand screen,Gender Equality Funds: Has Equileap gender equality score,Gun Free Funds: Gun manufacturers screen,Gun Free Funds: Gun retailers screen,Prison Free Funds: Prison industry screen,Prison Free Funds: Border industry screen,Prison Free Funds: Higher risk screen,Prison Free Funds: Private prison operators screen,Weapons Free Funds: Military contractors screen,Weapons Free Funds: Nuclear weapons screen,Weapons Free Funds: Controversial weapons screen,Tobacco Free Funds: Tobacco producers screen,Tobacco Free Funds: Tobacco-promoting entertainment companies screen,Beta Value,Market Cap,Ticker,Industry_Encoded
abbvie inc,0.875721944,0.991310182,0.999867319,0.880686649,0.991631669,0.991630694,0.878242871,0.878242871,0.99171275,0.055517325,0.999340966,0.60868782,0.999867319,0.998712537,0.98179488,0.992082644,0.998712784,0.020026513,0.020026513,0.888964147,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.542,3.09E+11,ABBV,3
abercrombie & fitch  -cl a,0.879789688,0.995239019,0.999991815,0.88429895,0.995234154,0.995229511,0.88191139,0.88191139,0.995271823,0.058872322,0.999988719,0.608957237,0.999991815,0.999870236,0.999891912,0.995494506,0.999869784,0.020808549,0.020808549,0.892550233,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANF,4
abm industries inc,0.880050191,0.995536778,0.999985597,0.884607313,0.995548254,0.99554401,0.882213218,0.882213218,0.99558338,0.058714577,0.999962555,0.608958701,0.999985597,0.999796449,0.998903678,0.995789999,0.999797205,0.020773449,0.020773449,0.892854799,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.153,2538332672,ABM,5
academy sports and outdoors inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1.595,1094657664,AIV,0
acadia healthcare co inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.332,7567285248,ACHC,0
acadia pharmaceuticals inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.78,1154312832,ANIP,0
acco brands corp,0.80802453,0.916149497,0.99999438,0.806497345,0.916064577,0.915982995,0.805342893,0.805342893,0.916773389,0.058777171,0.999982368,0.608587879,0.99999438,0.999926213,0.999768383,0.92071379,0.999927421,0.020737162,0.020737162,0.815590397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACCO,6
aci worldwide inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.24,3322574848,ACIW,0
acuity brands inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.495,7450886144,AYI,0
acushnet holdings corp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.893,4361346560,GOLF,0
adams resources & energy inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.576,3905898752,AEIS,0
adapthealth corp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.003,1012013824,AHCO,0
adaptive biotechnologies corp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.242,547241920,ADPT,0
adeia inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.174,1677784704,ADEA,0
adobe inc,0.879948174,0.995385527,0.99996613,0.884506585,0.995394805,0.995390639,0.882110706,0.882110706,0.995426498,0.058991811,0.999872687,0.608933596,0.99996613,0.999590353,0.999073531,0.995638171,0.99959014,0.021067136,0.021067136,0.892749688,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.335,2.83E+11,ADBE,7
adt inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.572,6120896000,ADT,0
adtran holdings inc,0.880195646,0.995723865,0.999997674,0.884756415,0.995720139,0.995716078,0.882359637,0.882359637,0.995755745,0.058798016,0.999995829,0.608945066,0.999997674,0.999964378,0.999969118,0.995956338,0.99996371,0.020722409,0.020722409,0.89300298,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADTN,8
advance auto parts inc,0.877604023,0.992782112,0.999977206,0.881929012,0.992775017,0.992768002,0.879579393,0.879579393,0.992828969,0.059029234,0.999963503,0.60894599,0.999977206,0.999641241,0.999660295,0.99316521,0.999641373,0.021013383,0.021013383,0.890205997,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.169,3816458240,AAP,9
advanced drainage systems inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.908,5088468992,CWST,0
advanced energy industries inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.251,78029192,ALCE,0
advanced micro devices,0.879102732,0.99447117,0.998071772,0.883632043,0.994496438,0.994491951,0.881241944,0.881241944,0.994535368,0.058823858,0.964977329,0.608939179,0.998071772,0.999475855,0.997930885,0.994779628,0.999477002,0.021053231,0.021053231,0.891883161,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AMD,10
advanced micro devices inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.576,3905898752,AEIS,0
advansix inc,0.868637768,0.983966866,0.997117525,0.873287544,0.984034906,0.984021043,0.871049819,0.871049819,0.9841694,0.057996776,0.976251253,0.608095585,0.997117525,0.999638696,0.994580155,0.984868375,0.999639238,0.020591674,0.020591674,0.881630464,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASIX,11
aecom,0.879413349,0.994865898,0.999994383,0.883908122,0.99487448,0.994871828,0.881491214,0.881491214,0.994920642,0.058639715,0.999983316,0.608955378,0.999994383,0.999987278,0.999953677,0.995159832,0.999987192,0.020696975,0.020696975,0.892163116,0.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.242,12179589120,ACM,12
aemetis inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948,139852304,AMTX,0
aer energy resources inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287,465380160,ADSE,0
aerovironment inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.411,3522233344,AVAV,0
aersale corp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.275,490887328,ASLE,0
aes corp (the),0.606491445,0.688858756,0.998313809,0.614025776,0.678405529,0.67813366,0.617788873,0.617788873,0.677100525,0.18829649,0.98734326,0.585828967,0.998313809,0.889064452,0.9357648,0.665363584,0.889064645,0.129405986,0.129405986,0.617071798,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AES,13
aes indiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.527,447148448,THFF,0
aflac inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.927,45254410240,AFL,0
agco corp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.354,8792403968,AGCO,0
agilent technologies inc,0.880713267,0.995594748,0.99997943,0.885297703,0.995602023,0.995598994,0.882883972,0.882883972,0.995575085,0.061025022,0.999897903,0.608961918,0.99997943,0.996656667,0.997174269,0.995778208,0.996657082,0.023680816,0.023680816,0.893551609,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.109,39287828480,A,3
agilon health inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.471,2878831104,AGL,0
agios pharmaceuticals inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.081,2020940,AMPE,0
agnc investment corp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.443,6554191872,AGNC,0
agri-dynamics inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913,1062039488,GDYN,0
aim energy inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287,465380160,ADSE,0
air lease corp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.649,4665354752,AL,0
air products & chemicals inc,0.691561641,0.81053624,0.998549599,0.703424872,0.810654803,0.810513345,0.703268782,0.703268782,0.812239169,0.058293934,0.995757608,0.587882878,0.998549599,0.996020569,0.992696334,0.82110116,0.996020946,0.023995529,0.023995529,0.713633586,0.11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.73,48586332,APD,14
air transport services group inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0.894,970608000,ATSG,0
airbnb inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.237,94597472256,ABNB,0
akamai technologies inc,0.879682289,0.995125185,0.999990633,0.884185155,0.995124024,0.995119352,0.881797895,0.881797895,0.995163236,0.058837514,0.99996483,0.608956696,0.999990633,0.999885502,0.9997375,0.995390929,0.999886862,0.020793457,0.020793457,0.892435892,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.763,19354763264,AKAM,7
alamo energy corp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287,465380160,ADSE,0
alarm.com holdings inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.902,3317190400,ALRM,0
alaska air group inc,0.828938959,0.937516996,0.998728521,0.830451935,0.939731074,0.939705487,0.828273059,0.828273059,0.940199273,0.053403426,0.990353185,0.608701689,0.998728521,0.991247287,0.89453692,0.942621614,0.991245653,0.030162959,0.030162959,0.838150331,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.621,4689287168,ALK,15
albany international corp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.271,2826720000,AIN,0
albemarle corp,0.874537613,0.989736012,0.999451179,0.879531005,0.989438372,0.989444948,0.877056145,0.877056145,0.989445796,0.060420918,0.998394789,0.608343417,0.999451179,0.998305434,0.997236033,0.988870135,0.998305059,0.02212641,0.02212641,0.887515151,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.606,13587130368,ALB,14
albertsons companies inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.346,12298459136,ACI,0
alcoa corp,0.739842548,0.82632537,0.984943024,0.740382926,0.83256367,0.832413636,0.740565486,0.740565486,0.832426281,0.060327541,0.887301047,0.609050249,0.984943024,0.94615046,0.384253111,0.822996014,0.946150414,0.075190184,0.075190184,0.73916996,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.488,4945447424,AA,16
alexandria r e equities inc,0.879155918,0.994556545,0.999996044,0.883612628,0.994551044,0.994545731,0.881235801,0.881235801,0.994595972,0.058816382,0.999991563,0.608953977,0.999996044,0.999941479,0.999922794,0.994851279,0.999942363,0.020740722,0.020740722,0.891871369,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IESC,17
alexandria real estate equities inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.067,20625965056,ARE,0
alight inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.175,5044704768,ALIT,0
align technology inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.64,22698713088,ALGN,0
allakos inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.783,117218248,ALLK,0
allegiant travel co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.606,1446334336,ALGT,0
allegro microsystems inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.803,6089263104,ALGM,0
allete inc,0.841232596,0.951844735,0.999432635,0.842882395,0.95206834,0.952025177,0.841113146,0.841113146,0.952376419,0.059885188,0.995687837,0.608760711,0.999432635,0.99429547,0.978536796,0.954423186,0.994296119,0.024781973,0.024781973,0.851468172,0.02,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.766,3350357760,ALE,18
alliance resource partners lp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.223,2523434752,ARLP,0
alliancebernstein holding lp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.282,3712778240,AB,0
alliant energy corp,0.789246912,0.898115318,0.998331609,0.791909744,0.899046636,0.898958355,0.790827261,0.790827261,0.899699154,0.059154574,0.987319561,0.604411204,0.998331609,0.985568201,0.936907446,0.904369176,0.985569524,0.030420529,0.030420529,0.800973791,0.02,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.546,12230729728,LNT,18
allied resources inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.791,61751308,AE,0
allison transmission holdings inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.004,12620428,ADN,0
allogene therapeutics inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.88,38335924,ACHL,0
