Company Name,Country,GICS Sub-Industry,Industry (Exiobase),Total Environmental Cost,Biodiversity,Abiotic Resources,SDG 1.5,SDG 2.1,SDG 2.2,SDG 2.3,SDG 2.4,SDG 3.3,SDG 3.4,SDG 3.9,SDG 6,SDG 12.2,SDG 14.1,SDG 14.2,SDG 14.3,SDG 14.c,SDG 15.1,SDG 15.2,SDG 15.5,Environmental Index
GRACE (W R) & CO,UNITED STATES OF AMERICA,Specialty Chemicals,Chemicals nec,0.874735279349276,0.9908548475157944,0.9996815918182962,0.8802117104155924,0.990798879865567,0.990791673094712,0.8778790145414427,0.8778790145414427,0.990848674660641,0.059505765940680744,0.9990687063236869,0.6077469686264257,0.9996815918182962,0.9990407637250935,0.998394120008647,0.9910929514359698,0.9990415260442349,0.021498509859884777,0.021498509859884777,0.8884539736124812,0.06
KIMBERLY-CLARK CORP,UNITED STATES OF AMERICA,Household Products,Chemicals nec,0.8390954362139112,0.9674135761219452,0.9969996156761949,0.8583106111877059,0.9674384121827231,0.9674966742297291,0.8551225011823164,0.8551225011823164,0.9676482791340362,0.05691854100377703,0.99122371363402,0.5937235512350054,0.9969996156761949,0.995809384231377,0.984898551619777,0.9674041893221715,0.9958096116365996,0.023550589476911306,0.023550589476911306,0.8663067933606656,0.06
DUPONT DE NEMOURS INC,UNITED STATES OF AMERICA,Specialty Chemicals,Chemicals nec,0.8355722828305413,0.9591827807840599,0.9965016597849169,0.8497396353648242,0.9594201138941548,0.9593939530518677,0.8477025739156783,0.8477025739156783,0.9597094675893831,0.058615843548068584,0.9897671452976448,0.5973165015180907,0.9965016597849169,0.9956490874533422,0.9824279670176955,0.9614899801825743,0.9956495101963271,0.02349734596346342,0.02349734596346342,0.8583311627449091,0.01
INGEVITY CORP,UNITED STATES OF AMERICA,Specialty Chemicals,Chemicals nec,0.8777094612021122,0.9932421892292417,0.9997897705080411,0.8824747326469471,0.9932348417554943,0.9932345596825741,0.8800317776401938,0.8800317776401938,0.9932803509235277,0.058945275617775406,0.9993851414103658,0.6086252776635435,0.9997897705080411,0.9993664460677674,0.9989345603903523,0.9934737634515879,0.9993659982965207,0.02122330533018439,0.02122330533018439,0.8907100182739618,0.11
PROCTER & GAMBLE CO,UNITED STATES OF AMERICA,Household Products,Chemicals nec,0.8464233617017085,0.9628270341943223,0.9889929861850768,0.8537455411615733,0.9636807677506785,0.9636521406868226,0.8517015531866324,0.8517015531866324,0.9639478448085328,0.05346586999704823,0.9678037253074222,0.6049181548459898,0.9889929861850768,0.9936339279580481,0.9447206695284271,0.9655882419630588,0.9936343667347631,0.02231496692119553,0.02231496692119553,0.862287957438692,0.06
PPG INDUSTRIES INC,UNITED STATES OF AMERICA,Specialty Chemicals,Chemicals nec,0.8729912885217205,0.9897064992611362,0.9975369249458845,0.8793346043803959,0.989919473145238,0.9899184497633725,0.8768886036743755,0.8768886036743755,0.9899838289630483,0.058025737456888174,0.9927953665106074,0.6070685762205792,0.9975369249458845,0.9976082702959893,0.9876316358358297,0.9904239659339812,0.9976070171393928,0.022006018890934224,0.022006018890934224,0.8876294918361948,0.06
INTL FLAVORS & FRAGRANCES,UNITED STATES OF AMERICA,Specialty Chemicals,Chemicals nec,0.8784443072089717,0.9940564150454174,0.9991641271044254,0.8832892673632013,0.9939330117132817,0.9939273530201652,0.8809501987963875,0.8809501987963875,0.9939550370834903,0.05885934901378753,0.997555069706251,0.6086942511947842,0.9991641271044254,0.9998676915482888,0.9958000061764615,0.9937473074149823,0.9998676494760413,0.020466196134181793,0.020466196134181793,0.8913996501079825,0.18
ECOLAB INC,UNITED STATES OF AMERICA,Specialty Chemicals,Chemicals nec,0.8753365105742175,0.9909560328599405,0.9975759062955862,0.8806728407457682,0.9915443450954474,0.9916080943283903,0.8772528113326236,0.8772528113326236,0.9916684224569348,0.05465972738862296,0.9929094082749197,0.6084950942467303,0.9975759062955862,0.9970561369494251,0.9878014885272227,0.9920570669302944,0.9970562681848553,0.022565754043454848,0.022565754043454848,0.8889569690245068,0.21
AXALTA COATING SYSTEMS LTD,UNITED STATES OF AMERICA,Specialty Chemicals,Chemicals nec,0.8792335517506247,0.9947452131954121,0.9992711140924491,0.88396120505599,0.9946494906043878,0.9946467015936024,0.8815743075733131,0.8815743075733131,0.9946703125487457,0.058790356894840454,0.9978680920718033,0.6088533730913248,0.9992711140924491,0.999798992929131,0.9963404465581668,0.994491934715867,0.9997993395281918,0.02057929620892619,0.02057929620892619,0.8920841545677726,0.23
MICROSOFT CORP,UNITED STATES OF AMERICA,Systems Software,Computer and related activities (72),0.8626876514634434,0.9761998368386325,0.9995276294002433,0.8668070521618491,0.9763715657997097,0.9763531825384535,0.8646299193440025,0.8646299193440025,0.9764704935788437,0.06175324101176387,0.9982226358777286,0.608036134063023,0.9995276294002433,0.9942802038567914,0.9870603131465984,0.977517697369316,0.994279041867594,0.025965030202976483,0.025965030202976483,0.8751668960312072,0.09
CADENCE DESIGN SYSTEMS INC,UNITED STATES OF AMERICA,Application Software,Computer and related activities (72),0.8801237640613936,0.9956137207326662,0.9999912558130053,0.8846636704031274,0.9956124921807564,0.9956082903063418,0.8822688863208968,0.8822688863208968,0.9956477085650852,0.05883357333618486,0.9999671999580615,0.6089589676015092,0.9999912558130053,0.9998931354813102,0.9997529415397919,0.9958525801199929,0.999893265706485,0.020786505041516374,0.020786505041516374,0.8929096618189053,0.13
VIRTUSA CORP,UNITED STATES OF AMERICA,IT Consulting & Other Services,Computer and related activities (72),0.8802282993547568,0.9957502155458633,0.9999953481288143,0.8847874165166482,0.9957478522736953,0.9957437419173023,0.8823912509500851,0.8823912509500851,0.9957827971912043,0.058807808664640894,0.9999825572031309,0.6089495557339218,0.9999953481288143,0.999944023347353,0.9998764707698959,0.9959817335032402,0.9999423634815019,0.02074072240256437,0.02074072240256437,0.8930327188004406,0.13
ORACLE CORP,UNITED STATES OF AMERICA,Systems Software,Computer and related activities (72),0.8770061629644027,0.9919315228183491,0.9998517268990474,0.8814148551963181,0.9919848760159216,0.991978515549408,0.8790517750779628,0.8790517750779628,0.9920209786737392,0.05971225547138995,0.9994422096914265,0.6088541882545058,0.9998517268990474,0.9982036583286898,0.9959389765603286,0.9923777736459982,0.998204729183077,0.02234497998450851,0.02234497998450851,0.8896722377296807,0.14
AMDOCS,UNITED STATES OF AMERICA,IT Consulting & Other Services,Computer and related activities (72),0.87999792660303,0.9954846040174797,0.9999846863304206,0.8845544539943756,0.9954862165609742,0.9954819564741071,0.8821604675430966,0.8821604675430966,0.995521097698545,0.058874951125836586,0.9999424577298939,0.6089356251820877,0.9999846863304206,0.9998142592889439,0.9995830888483987,0.9957310453351956,0.9998142823292838,0.020859926829169036,0.020859926829169036,0.8928004487477926,0.14
INTL BUSINESS MACHINES CORP,UNITED STATES OF AMERICA,IT Consulting & Other Services,Computer and related activities (72),0.8739571203353848,0.9883594693671911,0.9997104285802497,0.8782790103949497,0.9884681698930146,0.9884597765327758,0.8759455793288972,0.8759455793288972,0.988503842866034,0.0606020794493608,0.9989104887803475,0.6087160886875053,0.9997104285802497,0.9964938260296523,0.9920632469658133,0.9890070880174865,0.9964927111150959,0.023923294071046517,0.023923294071046517,0.886546077661261,0.14
FIDELITY NATIONAL INFO SVCS,UNITED STATES OF AMERICA,Data Processing & Outsourced Services,Computer and related activities (72),0.8797428994477189,0.9951188611589517,0.9999612394478253,0.8842573081782586,0.9951298403601804,0.995125464448742,0.881864692892781,0.881864692892781,0.9951627292140889,0.059022612888777595,0.9998542009696488,0.6089569992956927,0.9999612394478253,0.9995292872391043,0.9989345603903523,0.9953862130577336,0.9995303691085339,0.021121735697842724,0.021121735697842724,0.8925025483049926,0.18
PTC INC,UNITED STATES OF AMERICA,Application Software,Computer and related activities (72),0.880273899521323,0.9957892140639196,0.9999953148579541,0.8848255671195284,0.9957866021787053,0.9957825299314103,0.8824287910875895,0.8824287910875895,0.9958212121528682,0.058808026098289244,0.9999824624053218,0.6089597352798192,0.9999953148579541,0.999944023347353,0.9998764707698959,0.9960183753338805,0.9999423634815019,0.020741061533223273,0.020741061533223273,0.8930701486323241,0.19
STEEL CONNECT INC,UNITED STATES OF AMERICA,Data Processing & Outsourced Services,Computer and related activities (72),0.8803011784866585,0.995823469518969,0.9999969511793529,0.8848547877072765,0.995820106325946,0.9958160505678303,0.8824577810900168,0.8824577810900168,0.9958547820871335,0.05879772378744413,0.9999886242629115,0.6089598736248056,0.9999969511793529,0.9999618341004679,0.9999227942311849,0.9960506636796923,0.9999637103402049,0.020722918042971925,0.020722918042971925,0.8930993746654389,0.21
TERADATA CORP,UNITED STATES OF AMERICA,Systems Software,Computer and related activities (72),0.8802518689981444,0.9957586476578755,0.9999928981836514,0.88480220620804,0.9957572694585829,0.9957531925406237,0.8824054586054597,0.8824054586054597,0.99579161190136,0.058823235191660196,0.9999733618156511,0.6089596249176561,0.9999928981836514,0.9999134906277273,0.9997992650010809,0.9959898962872937,0.999914612565188,0.020768191985935575,0.020768191985935575,0.8930470754482863,0.21
SALESFORCE INC,UNITED STATES OF AMERICA,Application Software,Computer and related activities (72),0.8796491940997435,0.9950271619408192,0.9999358447075944,0.884234766219813,0.9950484744955387,0.9950442702248571,0.8818388764655093,0.8818388764655093,0.9950766302943888,0.059182535785060275,0.9997586447781054,0.6088918147844381,0.9999358447075944,0.9992239600428476,0.998239708471017,0.9953005945227719,0.9992229743432105,0.0214054184940157,0.0214054184940157,0.8924758859589933,0.23
VMWARE INC -CL A,UNITED STATES OF AMERICA,Systems Software,Computer and related activities (72),0.8799282961257521,0.9953776215963253,0.9999594428213726,0.8845165351333721,0.9953895513570553,0.9953854464978371,0.8821195431101546,0.8821195431101546,0.9954198614429219,0.059033912655688185,0.9998474703252048,0.6089070493582563,0.9999594428213726,0.9995089320926872,0.9988882369290634,0.9956309151841388,0.9995090222498308,0.02114174440671804,0.02114174440671804,0.8927584042791015,0.24
AUTODESK INC,UNITED STATES OF AMERICA,Application Software,Computer and related activities (72),0.8809315681778143,0.9964954034449394,0.9999877351510676,0.8855402637431609,0.9964965810824788,0.996493276174721,0.883131038776344,0.883131038776344,0.9965235708332276,0.058855746961129225,0.9999539282647916,0.6089631299250612,0.9999877351510676,0.9998498807951738,0.9996602946172138,0.9966864538598631,0.9998505719890789,0.02082584419794921,0.02082584419794921,0.8937761880638829,0.08
OWENS CORNING,UNITED STATES OF AMERICA,Building Products,Construction (45),0.8549618128554516,0.9677877510924855,0.9999980249207514,0.858412890233712,0.9675030518363226,0.9674809576104332,0.8563602657330899,0.8563602657330899,0.9676482993822217,0.0633405490052498,0.9999942173336467,0.6079327050086668,0.9999980249207514,0.9953055943575534,0.9999845588462369,0.9685331930543778,0.9953036910853383,0.025311694988598428,0.025311694988598428,0.8667733844156537,0.0
LENNOX INTERNATIONAL INC,UNITED STATES OF AMERICA,Building Products,Construction (45),0.8793459185052969,0.994780522664463,0.9999989625540854,0.8838215500168588,0.9947776041970134,0.9947729461095797,0.8814347341210981,0.8814347341210981,0.9948222860849651,0.058752180716478176,0.9999969664701097,0.6089549675335004,0.9999989625540854,0.9999974556066978,1.0,0.9950671388988405,0.9999978653141297,0.020690022369058262,0.020690022369058262,0.8920780017186959,0.01
AECOM,UNITED STATES OF AMERICA,Construction & Engineering,Construction (45),0.8794133485096357,0.9948658977985864,0.9999943832738675,0.8839081224776036,0.9948744800142928,0.9948718277409055,0.8814912135421267,0.8814912135421267,0.9949206419063826,0.05863971517751343,0.9999833155856035,0.6089553776555876,0.9999943832738675,0.9999872780334893,0.9999536765387109,0.9951598318466485,0.9999871918847782,0.020696974547565788,0.020696974547565788,0.8921631161309245,0.04
KB HOME,UNITED STATES OF AMERICA,Homebuilding,Construction (45),0.8801858458551491,0.9957070009718009,0.999998753855053,0.8847328198559867,0.9957054862486685,0.9957018200602094,0.8823302059229474,0.8823302059229474,0.9957424280200324,0.0587470575241234,0.9999963976832553,0.6089592936630457,0.999998753855053,0.9999974556066978,0.9999845588462369,0.9959436405109903,0.9999978653141297,0.020690361499717164,0.020690361499717164,0.892979394108442,0.05
JACOBS SOLUTIONS INC,UNITED STATES OF AMERICA,Research & Consulting Services,Construction (45),0.8799144006129692,0.9954129310653763,0.999996464214944,0.8844452504066178,0.9954171831380272,0.9954141917142327,0.8820328476777856,0.8820328476777856,0.9954577120513087,0.05869081054914664,0.9999895722410022,0.6089579280153378,0.999996464214944,0.9999923668200936,0.999969117692474,0.9956719104996077,0.9999914612565188,0.020693922371635653,0.020693922371635653,0.8926943121012185,0.05
FLUOR CORP,UNITED STATES OF AMERICA,Construction & Engineering,Construction (45),0.8799562764290558,0.9954603616954447,0.999996013546019,0.884491977194115,0.9954656033689829,0.9954628471890294,0.882076007022809,0.882076007022809,0.9955059489405687,0.058679745876769315,0.9999882450716752,0.6089581497670707,0.999996013546019,0.9999923668200936,0.999969117692474,0.9957178034855088,0.9999914612565188,0.02069443106762401,0.02069443106762401,0.8927404584692942,0.06
FREEPORT-MCMORAN INC,UNITED STATES OF AMERICA,Copper,Copper production,0.8224278073701609,0.9410194845028321,0.25920630336409684,0.8329579040058364,0.9416089714127321,0.9415935862332606,0.8308312800823556,0.8308312800823556,0.9419994273096622,0.05484331151946061,0.2592064077251872,0.6050719133431489,0.25920630336409684,0.9928171777080614,0.9470677249004046,0.943468911129956,0.992816782046438,0.024043176758968988,0.024043176758968988,0.8412375225348098,0.2
MARATHON OIL CORP,UNITED STATES OF AMERICA,Oil & Gas Exploration & Production,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.852667695227656,0.9523496080121928,0.9987826282978436,0.8549166042003176,0.9520085154890127,0.9520145485566617,0.8523800788800087,0.8523800788800087,0.9511686214132707,0.10964168107792956,0.9982170428069934,0.6077914218070868,0.9987826282978436,0.9369728335127131,0.9860720793057657,0.9532388566660469,0.9369712649934999,0.08263851113501605,0.08263851113501605,0.8636544026711569,0.01
MURPHY OIL CORP,UNITED STATES OF AMERICA,Oil & Gas Exploration & Production,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.8691725497915227,0.9827041572420248,0.999330847385067,0.8737876965590654,0.9826785550986075,0.9826718356433579,0.8714470588949714,0.8714470588949714,0.9826510964951435,0.06519730169720897,0.9990200750476336,0.6079950183477493,0.999330847385067,0.9915119039440641,0.9923566288873105,0.983172874161614,0.9915103542938138,0.028979223499312923,0.028979223499312923,0.8820601379468763,0.01
CONOCOPHILLIPS,UNITED STATES OF AMERICA,Oil & Gas Exploration & Production,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.7672049430323048,0.8569255043984004,0.9922975054915445,0.7680367361688412,0.8583620783464084,0.8585132776181765,0.7633781086900706,0.7633781086900706,0.8579918819613804,0.11547013885970843,0.9887183023380837,0.6039270437789431,0.9922975054915445,0.9071550884049453,0.9119236589357956,0.8628126232920508,0.9071561074430092,0.11132913444360189,0.11132913444360189,0.7768971797390781,0.01
HESS CORP,UNITED STATES OF AMERICA,Oil & Gas Exploration & Production,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.858928069258347,0.9672391368046933,0.9984571939153828,0.8623263167064147,0.9673010489845905,0.9673235451006432,0.8595624094505415,0.8595624094505415,0.9670795429034805,0.07752945931139145,0.9977403994229846,0.6082377164755286,0.9984571939153828,0.9737113284022991,0.9823662024026435,0.9679866493131924,0.9737113435072462,0.04641918719876719,0.04641918719876719,0.870645064697208,0.01
EXXON MOBIL CORP,UNITED STATES OF AMERICA,Integrated Oil & Gas,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.202547833648838,0.19997069841075768,0.9392884533524921,0.20181036829411883,0.17329839514537304,0.17316786369607567,0.20811181390298322,0.20811181390298322,0.1684355042945288,0.3813157367299431,0.9110755787856534,0.5743620334002029,0.9392884533524921,0.681676042755985,0.306337049504339,0.10420392448517775,0.6816756430207512,0.3278828819052089,0.3278828819052089,0.1837322772309718,0.08
NOBLE ENERGY INC,UNITED STATES OF AMERICA,Oil & Gas Exploration & Production,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.8693474603699652,0.9806414518410462,0.998957932460426,0.8729006073074571,0.9808036585941162,0.9808086735038097,0.8703566325195301,0.8703566325195301,0.9807091978840694,0.0686768455320215,0.9984738500717667,0.6089033935275431,0.998957932460426,0.9855783787634758,0.9880948704487199,0.9815798615047638,0.9855780622602481,0.03478497081441549,0.03478497081441549,0.8812633439914352,0.02
CHEVRON CORP,UNITED STATES OF AMERICA,Integrated Oil & Gas,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.568501728763674,0.5882668215364573,0.9667071567994697,0.5560245685531123,0.5887156003083599,0.5887389312248765,0.5537133884764472,0.5537133884764472,0.5855357296553295,0.29664373282765133,0.9512359122160913,0.5994958252450509,0.9667071567994697,0.673717180506894,0.619591735894506,0.5916438486619836,0.6737175340962701,0.3385773672337383,0.3385773672337383,0.5631384862760701,0.02
ANTERO RESOURCES CORP,UNITED STATES OF AMERICA,Oil & Gas Exploration & Production,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.8774096757310812,0.9927942332785948,0.9990629927631796,0.8823724674823179,0.9929959594580314,0.9929938982524822,0.8799271326710795,0.8799271326710795,0.9930298481583522,0.05916904875594606,0.9986277069158889,0.608464656108097,0.9990629927631796,0.9978423544797861,0.9892992804422347,0.9933404379787133,0.9978439672709962,0.022714971533372492,0.022714971533372492,0.8905849103427342,0.07
RANGE RESOURCES CORP,UNITED STATES OF AMERICA,Oil & Gas Exploration & Production,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.8801129274388213,0.9939742019532988,0.9993821964209053,0.8848540656828764,0.9940694050436399,0.9940769640041529,0.8822689310191385,0.8822689310191385,0.9939606577721548,0.06493411419907051,0.9990952497102268,0.6087275145524885,0.9993821964209053,0.9911658664549732,0.9929433927303049,0.9942241953989107,0.9911666698686955,0.029324288944747475,0.029324288944747475,0.8930947600286313,0.04
HF SINCLAIR CORP,UNITED STATES OF AMERICA,Oil & Gas Refining & Marketing,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",0.8360184640515514,0.9515548814550453,0.9912287154019538,0.843656366994351,0.9533622914232532,0.953333806038569,0.8414784587073142,0.8414784587073142,0.9537218179411499,0.053824697329923524,0.9870601938596236,0.6037674282975285,0.9912287154019538,0.9915119039440641,0.89901485438992,0.9555788547613973,0.9915103542938138,0.027744448770244404,0.027744448770244404,0.8517542798192703,0.05
MARATHON PETROLEUM CORP,UNITED STATES OF AMERICA,Oil & Gas Refining & Marketing,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",0.5826533579395037,0.6792266488468033,0.9377419995717435,0.5878146096885111,0.6919733834709441,0.6917369040545976,0.5878459236030553,0.5878459236030553,0.6945054293404546,0.016894357590605605,0.9081531519276139,0.5920708958688625,0.9377419995717435,0.9509237419883416,0.28328340693616627,0.7068308897888106,0.950925706527656,0.05976313079998209,0.05976313079998209,0.5950799767832495,0.06
PHILLIPS 66,UNITED STATES OF AMERICA,Oil & Gas Refining & Marketing,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",0.638324311693621,0.7254625540445679,0.9461118833395397,0.630066224933032,0.735985314529139,0.7357893351474596,0.6297576129933395,0.6297576129933395,0.7382349483882755,0.01695365094025296,0.9205009457503422,0.6077502855623585,0.9461118833395397,0.9665768495831012,0.3796362064173435,0.7470496524014457,0.9665750886428308,0.045593234479007136,0.045593234479007136,0.6368706404500604,0.06
DIGITAL REALTY TRUST INC,UNITED STATES OF AMERICA,Specialized REITs ,"Financial intermediation, except insurance and pension funding (65)",0.8637325313292659,0.9788628032134779,0.9999909835968761,0.8681923953174135,0.9788413714677974,0.9788207522697482,0.8660607994549981,0.8660607994549981,0.9790176805490569,0.05886468644035498,0.9999804716513314,0.6077287296164421,0.9999909835968761,0.9998676915482888,0.9998455884623699,0.980010067433666,0.9998676494760413,0.020807022446380052,0.020807022446380052,0.8766179429384776,0.0
CORESITE REALTY CORP,UNITED STATES OF AMERICA,Specialized REITs ,"Financial intermediation, except insurance and pension funding (65)",0.8787516895249077,0.9941186018715072,0.9999985360821496,0.883174228246996,0.9941122841855917,0.9941065366423002,0.8808043867467338,0.8808043867467338,0.9941616319176624,0.05879256604118408,0.9999969664701097,0.6089518950643293,0.9999985360821496,0.9999771004602808,0.999969117692474,0.9944378789459125,0.999978653141297,0.02070799629398016,0.02070799629398016,0.8914375926772892,0.0
EQUINIX INC,UNITED STATES OF AMERICA,Specialized REITs ,"Financial intermediation, except insurance and pension funding (65)",0.8673468909832062,0.9815073243432966,0.9999855604466577,0.870809731550633,0.9814890944597301,0.9814710721894871,0.8686364845451072,0.8686364845451072,0.9816414715974502,0.05891648184851349,0.9999687167230066,0.6088931994111503,0.9999855604466577,0.9997888153559225,0.9997375003860288,0.9825089677252589,0.9997886660988402,0.020878239884749836,0.020878239884749836,0.8792067541875266,0.0
AMERICAN TOWER CORP,UNITED STATES OF AMERICA,Specialized REITs ,"Financial intermediation, except insurance and pension funding (65)",0.8659991026707451,0.9800169485451444,0.9999803096999877,0.8693599841559737,0.9799979016614525,0.9799784395151626,0.8672097741415091,0.8672097741415091,0.9801613910089029,0.05896658808261398,0.999957340985918,0.6088763532097725,0.9999803096999877,0.9997124835568583,0.9996448534634508,0.9810982572456046,0.9997118174075094,0.020947083408507296,0.020947083408507296,0.8777726276152172,0.01
WASHINGTON REIT,UNITED STATES OF AMERICA,Residential REITs,"Financial intermediation, except insurance and pension funding (65)",0.8797058420475391,0.9953185968122401,0.9999990684159134,0.884353349232283,0.9953139629307858,0.9953093858040039,0.8819647530993968,0.8819647530993968,0.9953533015031959,0.0587875102929333,0.9999981040438186,0.6088294716132002,0.9999990684159134,0.9999847336401871,0.9999845588462369,0.9955732315101604,0.9999850571989078,0.020701044115472633,0.020701044115472633,0.8926040703147593,0.01
JBG SMITH PPTYS,UNITED STATES OF AMERICA,Office REITs ,"Financial intermediation, except insurance and pension funding (65)",0.8793475128144794,0.9951620757330141,0.9999980702901063,0.884202161419835,0.9951571093056354,0.9951523819351036,0.8818159654239434,0.8818159654239434,0.9951974896378339,0.058797036932593805,0.99999592369421,0.6086187644652685,0.9999980702901063,0.9999720116736764,0.999969117692474,0.9954246688403858,0.9999722490836861,0.020714100645840425,0.020714100645840425,0.8924543509872246,0.01
